Feature ID	Taxon	Confidence	Taxon_Lv1	Taxon_Lv2	Taxon_Lv3	Taxon_Lv4	Taxon_Lv5	Taxon_Lv45
10bd74a893128c5734dccb977cc42b08	Eukaryota	0.998500175	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
067d3ad5d4af6faa148a004fa1924564	Eukaryota	0.996076103	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
5787c85b41663ad75c6ef7e8038accde	Eukaryota	0.998357674	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
c26eba1c9efaa578a88ad65fdd92fb3c	Eukaryota	0.992403402	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
b574f788e8697a8eb4a5d95bf6267a4a	Eukaryota	0.997507353	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
dd40682ad7300153f8e734d68812c2cd	Eukaryota	0.994868316	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
e1091a83de9760c0183d84c83f215b0f	Eukaryota	0.999981538	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
0b5856c49416ddbdcc90df727e2586c6	Eukaryota	0.998062795	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
4fba9df67847bea17140d3b76e51cce4	Eukaryota	0.997434417	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
46cd9fe7c78102b1ece17ea31d8496cc	Eukaryota	0.999383076	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
1abf8f02941522781e912095a43e7c3a	Eukaryota	0.98680925	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
0a11b9003dc49b89c2bd66e75abd9a3f	Eukaryota	0.993233592	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
5d359858a18306f5def7156485db52fe	Eukaryota	0.985710948	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
d1d77ea47207d68faf2a53d35484f4ea	Eukaryota	0.999544583	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
7fdd24f40caa4cd9e0c0bdda78865cac	Eukaryota	0.999497063	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
fb14da55f50a8f3a06767e55204049f1	Eukaryota	0.998311116	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
2f313fcdac5773662e66c84509099f4a	Eukaryota	0.996704382	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
